,9200
weight_HD,0.022811989744722122
weight_JNJ,0.37911813810563727
weight_JPM,0.04243439363434236
weight_NEE,0.04350747871530696
weight_PG,0.2596450147835218
weight_V,0.12786257437050985
weight_XOM,0.12462041064595963
